destination,variant,routeCode,startTime,endTime,transitDay,transitDayNumber,vehicle Id,,,,,,,
Katraj To Shivajinagar,UP,2,00:45:00,01:25:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,02:15:00,02:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,03:45:00,04:25:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,04:50:00,05:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,05:20:00,06:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,05:30:00,06:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,05:35:00,06:20:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,05:55:00,06:40:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,06:10:00,06:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,06:30:00,07:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,06:45:00,07:30:00,Normal,1234567,,,, ,,,,
Katraj To Shivajinagar,UP,2,07:00:00,07:45:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,07:00:00,07:45:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,07:05:00,07:50:00,Normal,1234567,,, ,,,,,
Katraj To Shivajinagar,UP,2,07:15:00,08:00:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,07:25:00,08:10:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,07:35:00,08:20:00,Normal,1234567,,, ,,,,,
Katraj To Shivajinagar,UP,2,07:40:00,08:25:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,07:50:00,08:35:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,08:10:00,08:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,08:20:00,09:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,08:30:00,09:15:00,Normal,1234567,,, ,,,,,
Katraj To Shivajinagar,UP,2,08:40:00,09:25:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,08:45:00,09:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,09:00:00,09:45:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,09:10:00,09:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,09:35:00,10:20:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,09:45:00,10:30:00,Normal,1234567,,,,,,,,
